issue,source_anchor,tool_behavior,source_id,source_locator,source_role,confidence,display_allowed
testosterone_repeat,Male testosterone varies over time and low values need confirmation.,Show one-measurement context warning; do not diagnose.,jcem_2018_bhasin_testosterone_guideline,JCEM 2018 guideline recommendations,method_warning,high,false
assay_standardization,CDC hormone standardization programs assess analytical accuracy and reliability of testosterone and estradiol tests.,Store assay method if known; warn when unknown.,cdc_hormone_standardization,Steroid Hormones Standardization Programs overview,method_warning,high,false
low_estradiol_assay,Commercial estradiol assays can be poor at low male levels.,Flag male and postmenopausal estradiol as assay-sensitive.,endotext_male_estrogens,Diagnostic Aspects: Significance of Serum Estradiol in Men,method_warning,high,false
dht_cross_reactivity,DHT assay needs negligible testosterone cross-reactivity and LC-MS methods are used by reference laboratories.,Ask method if known and lower confidence when unknown.,endotext_lab_testicular_function,Dihydrotestosterone section,method_warning,high,false
free_testosterone_methods,"Equilibrium dialysis, calculated free testosterone, and analog free testosterone are not interchangeable.",Reject analog free T as a curated comparator until separately approved.,endotext_lab_testicular_function,Calculated Free Testosterone and Direct Free Testosterone sections,method_warning,high,false
free_testosterone_calculation,Calculated free testosterone can track equilibrium dialysis under many conditions but analog free T and free androgen index vary with SHBG.,Keep calculated free T method-labeled and separate from measured equilibrium-dialysis rows.,jcem_1999_vermeulen_free_testosterone_estimation,Abstract and method comparison,method_warning,high,false
eleven_oxygenated_androgen_standardization,Fit Futures notes limited cross-laboratory standardization and preanalytic vulnerabilities for 11-oxygenated androgen assays.,Treat 11-OA rows as source-specific method rows rather than universal harmonized bands.,jei_2026_pettersen_fit_futures_11oxygenated_androgens,Discussion and Table 3,method_warning,medium,false
dhea_timing,Kushnir established DHEA intervals by LC-MS/MS but the source does not solve DHEA diurnal timing variability.,Keep DHEA rows source-specific and warn that timing affects interpretation.,clinchem_2010_kushnir_androstenedione_dhea_testosterone_lcms,Tables 1-2 and Results discussion,method_warning,medium,false
androstanediol_glucuronide_method,Fabregat reports ELISA results about 43% higher than the LC-MS/MS method for serum 3-alpha androstanediol glucuronide.,Keep 3-alpha-diol-G rows method-labeled and do not mix immunoassay and LC-MS/MS ranges.,steroids_2019_fabregat_3alpha_diol_g_lcms,Method comparison and Table 3,method_warning,medium,false
backdoor_pathway_population,Liu 2026 backdoor-pathway steroid intervals are plasma UPLC-MS/MS rows from healthy Han Chinese adults age 20-60.,"Treat androsterone, 3-alpha-diol, and Liu DHT rows as source-specific advanced context.",cca_2026_liu_backdoor_pathway_steroids_lcms,Tables 2-3 and Discussion limitations,method_warning,medium,false
holmes_pediatric_quantile_intervals,"Holmes 2021 pediatric intervals are continuous quantile-regression point estimates by age bin, not fixed diagnostic partitions.",Display as source-specific pediatric rows with age-bin midpoint and method caveats.,jmsacl_2021_holmes_pediatric_testosterone_shbg_free_testosterone_quantile_reference_intervals,Tables 1-2 and Discussion limitations,method_warning,medium,false
liu_guangxi_population_specific_intervals,"Liu 2026 intervals are from reproductive-age women in Guangxi, China after PCOS exclusion.",Display as population-specific adrenal-steroid rows rather than universal intervals.,annlabmed_2026_liu_guangxi_reproductive_women_adrenocortical_hormone_reference_intervals,Table 3 and limitations paragraph,method_warning,medium,false
frederiksen_2024_reference_profile_extraction,"Frederiksen 2024 models sex- and age-specific steroid reference profiles in main Figures 2-3; the supplement contains method tables and log-profile figures, not a clean numeric RI grid.",Use Table 1 and Supplementary Tables 6-8 for assay/censoring caveats; do not promote exact age-sex interval rows from figures without a numeric table or author-supplied data.,cca_2024_frederiksen_16_steroid_metabolites_lifespan_lcms,"Main Table 1, Figures 2-3; Supplementary Tables 1-8 and Supplementary Figures 4-5",method_warning,medium,false
