crop,viability_years
Artichoke,1-4 years
Arugula,3-6 years
Asparagus,3-4 years
Beans,2-4 years
Beets,2-5 years
Broccoli,3-5 years
Brussel Sprouts,3-5 years
Cabbage,3-5 years
"Cabbage, Napa",3-5 years
Carrots,3-4 years
Cauliflower,4-5 years
Celery/Celeriac,3-5 years
Chicory,4-5 years
Collards,3-5 years
Corn,1-3 years
Cress,5 years
Cucumbers,3-6 years
Eggplant,4-5 years
Endive/Escarole,5 years
Fennel,3-4 years
Kale,3-5 years
Kohlrabi,3-5 years
Leeks,1-3 years
Lettuce,1-6 years
Melons,3-6 years
Mustard,4 years
Okra,2-3 years
Onions,1-2 years
Parsley,1-4 years
Parsnip,1-3 years
Peas,2-4 years
Peppers,2-5 years
Pumpkins,4-6 years
Radish,4-5 years
Rutabagas,3-5 years
Shallots,3 years
Spinach,2-5 years
Summer Squash,4 years
"Squash, Winter",3-6 years
Swiss Chard,2-5 years
Tomato,3-7 years
Tomatillo,3-4 years
Turnip,4-5 years
Watermelon,4-5 years
