source_id,label,registry_url,expected_filename,access_type,download_status,notes
unlG2090,"Lindgren & Browning, Nebraska Extension G2090",https://extensionpubs.unl.edu/publication/g2090/2011/html/view,unl_g2090_vegetable_seed_storage_germination.html,open_html,ok,Primary seed-count + longevity lookup. Two HTML tables extracted to unl_g2090_seed_counts_longevity.csv (39 crops) and unl_g2090_germination_conditions.csv (39 crops). Table I derives from Knott's Handbook 1988 and Splittstoesser 1979. NOTE: Tomato and Turnip seeds/oz are order-of-magnitude typos - see numeric_audit.csv.
osborneCounts,Osborne Quality Seeds seed count chart,https://www.osborneseed.com/pages/seed-count-chart,osborne_seed_count_chart.html,open_html,ok,"Seeds/oz + seeds/lb for 41 crops plus a 44-crop viability-range table. Vendor source, no cited provenance. Extracted to osborne_seed_counts.csv and osborne_seed_viability_years.csv. Lettuce (3125/oz) conflicts with UNL (25000/oz) by 8x; UNL agrees with Knott's and is preferred."
johnnysStorage,Johnny's Selected Seeds storage guidelines,https://www.johnnyseeds.com/growers-library/reference-documents/seed-storage-guidelines.html,johnnys_seed_storage_guidelines.html,open_html,ok,"Broadest species catalog found: 147 taxa across farm seed, vegetable, herb, fruit and flower, all as year RANGES. Extracted to johnnys_storage_life_years.csv. Also the cleanest statement of the Hundred Rule and the warm-before-opening retrieval protocol. Vendor source."
illinoisViability,"Illinois Extension, Seed Viability and Germination",https://extension.illinois.edu/sites/default/files/seed_viability.pdf,illinois_ext_seed_viability_germination.pdf,open_pdf,ok,483 KB PDF. Extension-level germination-test protocol and viability summary. Secondary source.
montanaSeedRates,"Montana State Extension (Roosevelt Co.), seed rate calculations",https://www.montana.edu/extension/roosevelt/calcseedrates.html,montana_ext_roosevelt_seed_rate_calculations.html,open_html,ok,Source for the user-measured-lot conversion formulas (seeds/lb from an oz / gram / grain sample).
faoSeedStorage,"FAO Forest Genetic Resources, Ch. 7 Seed Storage",https://www.fao.org/4/ad232e/AD232E07.htm,fao_ad232e_ch7_seed_storage.html,open_html,ok,Orthodox/recalcitrant framing and target moisture contents for genetic conservation.
cpcSeedTypes,Center for Plant Conservation - orthodox/intermediate/recalcitrant,https://saveplants.org/best-practices/difference-between-orthodox-intermediate-and-recalcitrant-seed/,cpc_orthodox_intermediate_recalcitrant_seed.html,open_html,ok,Basis for the recalcitrant-species exclusion gate. Introduces the INTERMEDIATE category the brief omitted.
colostateSeedCond,"Colorado State, Seed Conditioning 106, Lesson 6.1",https://colostate.pressbooks.pub/seedconditioning106/chapter/lesson-6-1-orthodox-and-recalcitrant-seeds/,colostate_seedcond106_orthodox_recalcitrant.html,open_html,ok,Open courseware. Corroborates the CPC seed-category definitions.
csuExt7221,"Ells, Bass & Whiting, Storing Vegetable and Flower Seeds, CSU Extension 7.221",https://extension.colostate.edu/topic-areas/yard-garden/storing-vegetable-and-flower-seeds-7-221/,csu_ext_7221_storing_vegetable_flower_seeds.html,open_html,ok,Extension fact sheet cited in the brief. Home-scale drying and container guidance.
groot2015Anoxia,Groot et al. 2015 - Prolonging longevity of ex situ conserved seeds by storage under anoxia,https://doi.org/10.1017/S1479262114000586,pgr_2015_groot_anoxia_seed_longevity.html,open_html,ok,"Plant Genetic Resources 13(1):18-26. FULL TEXT captured. The single most important source for the storage-method engine: container oxygen-permeability ranking, seed self-deoxygenation rate, and the O2-absorber-plus-desiccant result. Corrects the brief on two points - see numeric_audit and the SOW Section 5."
okraHermetic,Hermetic storage of okra seed maintains seed longevity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10270594/,plosone_2023_okra_hermetic_storage_longevity.html,open_html,ok,"PLoS ONE / PMC10270594. Full text. 8/10/12/14% seed MC x 5 container types x 12 months ambient. Source for the 'hermetic amplifies, it does not improve' rule and for moisture-adsorption isotherms at 25 C over 60-90% RH."
